episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_depheld_always_verify_s428,dep_sensitive_held_out,always_verify,428,1,1,1,0,0.5,9.2,9.2,medium,0.464,31.3,-22.1,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.464,0.704,0.326656,6,0.7,0,0.704,11.3,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s429,dep_sensitive_held_out,always_verify,429,1,1,1,0,0.5,9.2,9.2,low,0.208,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.208,0.358,0.07446399999999999,2,0.4,0,0.358,6.975,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s430,dep_sensitive_held_out,always_verify,430,1,0,1,0,0.5,9.2,9.2,low,0.164,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.164,1.0,0.164,12,0.4,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s431,dep_sensitive_held_out,always_verify,431,1,1,1,0,0.5,9.2,9.2,medium,0.509,28.675,-19.475,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.509,0.494,0.251446,2,0.2,1,0.494,8.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s432,dep_sensitive_held_out,always_verify,432,1,1,1,0,0.5,9.2,9.2,low,0.361,32.875,-23.675,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.361,0.83,0.29962999999999995,2,1.0,1,0.83,12.875,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s433,dep_sensitive_held_out,always_verify,433,1,1,1,0,0.5,9.2,9.2,low,0.157,34.25,-25.05,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.157,0.94,0.14758,4,1.0,1,0.94,14.25,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s434,dep_sensitive_held_out,always_verify,434,1,1,1,0,0.5,9.2,9.2,low,0.054,31.5,-22.3,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.054,0.72,0.03888,4,1.0,0,0.72,11.5,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s435,dep_sensitive_held_out,always_verify,435,1,1,1,0,0.5,9.2,9.2,low,0.361,32.675,-23.475,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.361,0.814,0.29385399999999995,4,0.7,1,0.814,12.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s436,dep_sensitive_held_out,always_verify,436,1,1,1,0,0.5,9.2,9.2,medium,0.578,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.578,0.688,0.39766399999999996,4,0.4,1,0.688,11.1,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s437,dep_sensitive_held_out,always_verify,437,1,1,1,0,0.5,9.2,9.2,medium,0.588,33.3625,-24.1625,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.588,0.869,0.510972,9,0.7,0,0.869,13.3625,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
