episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table5_exactTopB150_repl_H_only_s72,dependency_sensitive,H_only,72,0,0,1,0,0.0,5.6,5.6,medium,0.403,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.403,0.615,0.247845,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s73,dependency_sensitive,H_only,73,0,0,1,0,0.0,9.2,9.2,high,0.703,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.485,0.703,0.485,0.34095499999999995,3,0.5,0,0.485,7.82,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4850, verify=False"
revision_table5_exactTopB150_repl_H_only_s76,dependency_sensitive,H_only,76,0,0,0,1,0.0,-20.3,-20.3,medium,0.465,29.5,-20.3,9.2,partially_reversible,strong,direct,risky_patch,0.625,0.465,0.625,0.290625,5,0.5,0,0.625,9.5,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6250, verify=False"
revision_table5_exactTopB150_repl_H_only_s79,dependency_sensitive,H_only,79,0,0,1,0,0.0,5.6,5.6,low,0.244,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.244,0.615,0.15006,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s80,dependency_sensitive,H_only,80,0,0,1,0,0.0,9.2,9.2,medium,0.613,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.415,0.613,0.415,0.254395,2,0.5,0,0.415,6.98,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4150, verify=False"
revision_table5_exactTopB150_repl_H_only_s84,dependency_sensitive,H_only,84,0,0,0,1,0.0,-17.57,-17.57,high,0.739,26.77,-17.57,9.2,partially_reversible,strong,direct,risky_patch,0.3975,0.739,0.3975,0.2937525,3,0.25,0,0.3975,6.77,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3975, verify=False"
revision_table5_exactTopB150_repl_H_only_s86,dependency_sensitive,H_only,86,0,0,0,1,0.0,-20.18,-20.18,low,0.242,29.38,-20.18,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.242,0.615,0.14883,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s87,dependency_sensitive,H_only,87,0,0,0,1,0.0,-16.73,-16.73,high,0.716,25.93,-16.73,9.2,partially_reversible,strong,direct,risky_patch,0.3275,0.716,0.3275,0.23449,2,0.25,0,0.3275,5.93,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3275, verify=False"
revision_table5_exactTopB150_repl_H_only_s91,dependency_sensitive,H_only,91,0,0,1,0,0.0,5.6,5.6,medium,0.631,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.345,0.631,0.345,0.21769499999999997,1,0.5,0,0.345,6.14,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.3450, verify=False"
revision_table5_exactTopB150_repl_H_only_s95,dependency_sensitive,H_only,95,0,0,0,1,0.0,-19.04,-19.04,medium,0.602,28.24,-19.04,9.2,partially_reversible,strong,direct,risky_patch,0.52,0.602,0.52,0.31304,1,1.0,0,0.52,8.24,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5200, verify=False"
revision_table5_exactTopB150_repl_H_only_s100,dependency_sensitive,H_only,100,0,0,1,0,0.0,9.2,9.2,low,0.232,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.6325,0.232,0.6325,0.14674,1,0.75,1,0.6325,9.59,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6325, verify=False"
revision_table5_exactTopB150_repl_H_only_s105,dependency_sensitive,H_only,105,0,0,1,0,0.0,9.2,9.2,low,0.277,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.52,0.277,0.52,0.14404000000000003,1,1.0,0,0.52,8.24,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5200, verify=False"
revision_table5_exactTopB150_repl_H_only_s107,dependency_sensitive,H_only,107,0,0,1,0,0.0,9.2,9.2,low,0.241,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.415,0.241,0.415,0.10001499999999999,2,0.5,0,0.415,6.98,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4150, verify=False"
