episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table5_ablation_dep300_dep_s107_pH,dependency_sensitive,p_times_H,107,0,0,1,0,0.0,9.2,9.2,low,0.241,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.10001499999999999,0.241,0.415,0.10001499999999999,2,0.5,0,0.415,6.98,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.1000, verify=False"
revision_table5_ablation_dep300_dep_s108_p_only,dependency_sensitive,p_only,108,1,1,1,0,0.5,9.2,9.2,medium,0.548,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.548,0.548,0.7125,0.39045,5,0.75,0,0.7125,10.55,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.5480, verify=True"
revision_table5_ablation_dep300_dep_s108_H_only,dependency_sensitive,H_only,108,1,1,1,0,0.5,9.2,9.2,medium,0.548,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.7125,0.548,0.7125,0.39045,5,0.75,0,0.7125,10.55,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.7125, verify=True"
revision_table5_ablation_dep300_dep_s108_pH,dependency_sensitive,p_times_H,108,1,1,1,0,0.5,9.2,9.2,medium,0.548,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.39045,0.548,0.7125,0.39045,5,0.75,0,0.7125,10.55,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.3905, verify=True"
revision_table5_ablation_dep300_dep_s109_p_only,dependency_sensitive,p_only,109,1,0,1,0,0.5,9.2,9.2,medium,0.688,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.688,0.688,0.7475,0.51428,8,0.25,0,0.7475,10.97,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.6880, verify=True"
revision_table5_ablation_dep300_dep_s109_H_only,dependency_sensitive,H_only,109,1,0,1,0,0.5,9.2,9.2,medium,0.688,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.7475,0.688,0.7475,0.51428,8,0.25,0,0.7475,10.97,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.7475, verify=True"
revision_table5_ablation_dep300_dep_s109_pH,dependency_sensitive,p_times_H,109,1,0,1,0,0.5,9.2,9.2,medium,0.688,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.51428,0.688,0.7475,0.51428,8,0.25,0,0.7475,10.97,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.5143, verify=True"
revision_table5_ablation_dep300_dep_s110_p_only,dependency_sensitive,p_only,110,1,1,1,0,0.5,9.2,9.2,medium,0.457,28.029999999999998,-18.83,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.457,0.457,0.5025,0.22964249999999997,2,0.75,0,0.5025,8.03,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.4570, verify=True"
revision_table5_ablation_dep300_dep_s110_H_only,dependency_sensitive,H_only,110,1,1,1,0,0.5,9.2,9.2,medium,0.457,28.029999999999998,-18.83,9.2,partially_reversible,strong,verify_then_decide,safe_edit,0.5025,0.457,0.5025,0.22964249999999997,2,0.75,0,0.5025,8.03,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.5025, verify=True"
revision_table5_ablation_dep300_dep_s110_pH,dependency_sensitive,p_times_H,110,0,0,0,1,0.0,-18.83,-18.83,medium,0.457,28.029999999999998,-18.83,9.2,partially_reversible,strong,direct,risky_patch,0.22964249999999997,0.457,0.5025,0.22964249999999997,2,0.75,0,0.5025,8.03,dependency_structural,0.457,0.28204125,0.5,"Ablation p_times_H: p*H >= 0.2820. score=0.2296, verify=False"
revision_table5_ablation_dep300_dep_s111_p_only,dependency_sensitive,p_only,111,0,0,1,0,0.0,9.2,9.2,medium,0.409,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.409,0.409,0.5025,0.20552249999999997,2,0.75,0,0.5025,8.03,dependency_structural,0.457,0.28204125,0.5,"Ablation p_only: p >= 0.4570. p=0.4090, verify=False"
revision_table5_ablation_dep300_dep_s111_H_only,dependency_sensitive,H_only,111,1,0,1,0,0.5,9.2,9.2,medium,0.409,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,0.5025,0.409,0.5025,0.20552249999999997,2,0.75,0,0.5025,8.03,dependency_structural,0.457,0.28204125,0.5,"Ablation H_only: H >= 0.2820. H=0.5025, verify=True"
